Initial Weights
Begin Layer,Begin Index,End Layer,End Index,Weight
0,0,1,0,0.112638
0,0,1,1,5.79221
0,0,1,2,2.05237
0,0,1,3,8.26828
1,0,2,0,6.00859
1,0,2,1,4.94672
1,0,2,2,3.63794
1,0,2,3,9.14922
1,1,2,0,8.41068
1,1,2,1,7.64071
1,1,2,2,1.85849
1,1,2,3,8.77533
1,2,2,0,7.27606
1,2,2,1,5.2867
1,2,2,2,3.17035
1,2,2,3,0.251344
1,3,2,0,1.02317
1,3,2,1,3.78097
1,3,2,2,1.58786
1,3,2,3,1.77558
2,0,3,0,10.0841
2,0,3,1,4.60149
2,0,3,2,1.30274
2,0,3,3,0.14716
2,1,3,0,0.190005
2,1,3,1,3.91659
2,1,3,2,5.4698
2,1,3,3,5.86896
2,2,3,0,6.17782
2,2,3,1,6.23237
2,2,3,2,1.77897
2,2,3,3,6.79676
2,3,3,0,4.65297
2,3,3,1,3.65644
2,3,3,2,0.676095
2,3,3,3,6.23761
3,0,4,0,8.01152
3,1,4,0,8.20632
3,2,4,0,5.35082
3,3,4,0,3.1497
