Pre-Optimization
Input Number,Real,Predicted,Error
1,599446,0,0
2,126094,0,0
3,679747,0,0
4,217102,0,0
5,12694,0,0
6,117631,0,0
7,586111,0,0
8,26527,0,0
9,365422,0,0
10,1205887,0,0
11,108319,0,0
12,1508062,0,0
13,73966,0,0
14,41791,0,0
15,9427,0,0
16,594094,0,0
17,789526,0,0
18,1499566,0,0
19,1428319,0,0
20,248851,0,0
21,359167,0,0
22,45406,0,0
23,192046,0,0
24,1606,0,0
25,80707,0,0
26,648694,0,0
27,73966,0,0
28,313006,0,0
29,442387,0,0
30,1457446,0,0
31,696991,0,0
32,637582,0,0
33,41791,0,0
34,240286,0,0
35,881311,0,0
36,2206,0,0
37,204382,0,0
38,536806,0,0
39,1221151,0,0
40,801886,0,0
41,567694,0,0
42,1607491,0,0
43,1198291,0,0
44,618367,0,0
45,67519,0,0
46,386662,0,0
47,19702,0,0
48,301486,0,0
49,6646,0,0
50,852286,0,0
51,1080019,0,0
52,586111,0,0
53,30622,0,0
54,1112662,0,0
55,248851,0,0
56,1453267,0,0
57,1647262,0,0
58,406291,0,0
59,1403587,0,0
60,541894,0,0
61,768127,0,0
62,22207,0,0
63,944182,0,0
64,110611,0,0
65,22207,0,0
66,103807,0,0
67,741046,0,0
68,934111,0,0
69,842719,0,0
70,1620694,0,0
71,1183171,0,0
72,679747,0,0
73,694102,0,0
74,1116319,0,0
75,89806,0,0
76,110611,0,0
77,878062,0,0
78,920767,0,0
79,169951,0,0
80,833206,0,0
81,920767,0,0
82,22,0,0
83,732127,0,0
84,599446,0,0
85,328702,0,0
86,894367,0,0
87,562486,0,0
88,1651711,0,0
89,998806,0,0
90,4351,0,0
91,26527,0,0
92,5827,0,0
93,57151,0,0
94,11926,0,0
95,132319,0,0
96,1407694,0,0
97,1127326,0,0
98,1198291,0,0
99,494527,0,0
100,744031,0,0
101,1491094,0,0
102,588766,0,0
103,1555219,0,0
104,225247,0,0
105,1164406,0,0
106,319,0,0
107,303391,0,0
108,1164406,0,0
109,166,0,0
110,489667,0,0
111,648694,0,0
112,1598719,0,0
113,1342702,0,0
114,1134694,0,0
115,433219,0,0
116,212287,0,0
117,59662,0,0
118,13891,0,0
119,122431,0,0
120,694102,0,0
121,1037251,0,0
122,509251,0,0
123,326719,0,0
124,634819,0,0
125,388819,0,0
126,795694,0,0
127,141286,0,0
128,20686,0,0
129,211,0,0
130,338707,0,0
131,765094,0,0
132,1629526,0,0
133,235219,0,0
134,1069246,0,0
135,514207,0,0
136,1175647,0,0
137,35662,0,0
138,63094,0,0
139,927427,0,0
140,1611886,0,0
141,1606,0,0
142,424147,0,0
143,1240366,0,0
144,1232662,0,0
145,332686,0,0
146,679747,0,0
147,591427,0,0
148,122431,0,0
149,114094,0,0
150,424147,0,0
151,319,0,0
152,1194502,0,0
153,270019,0,0
154,961087,0,0
155,86719,0,0
156,1179406,0,0
157,236902,0,0
158,777262,0,0
159,808102,0,0
160,887827,0,0
161,468094,0,0
162,897646,0,0
163,235219,0,0
164,1338691,0,0
165,1194502,0,0
166,868351,0,0
167,487246,0,0
168,645907,0,0
169,359167,0,0
170,506782,0,0
171,480019,0,0
172,1411807,0,0
173,465727,0,0
174,7822,0,0
175,981571,0,0
176,264646,0,0
177,1279246,0,0
178,839542,0,0
179,1629526,0,0
180,4819,0,0
181,694,0,0
182,1156942,0,0
183,1546591,0,0
184,539347,0,0
185,957694,0,0
186,1094467,0,0
187,1186942,0,0
188,104926,0,0
189,393151,0,0
190,74911,0,0
191,1559542,0,0
192,974719,0,0
193,1127326,0,0
194,171382,0,0
195,1283167,0,0
196,1616287,0,0
197,336694,0,0
198,544447,0,0
199,897646,0,0
200,588766,0,0
201,774211,0,0
202,1611886,0,0
203,753022,0,0
204,31,0,0
205,1291027,0,0
206,1420051,0,0
207,682606,0,0
208,991894,0,0
209,607,0,0
210,1674046,0,0
211,1244227,0,0
212,340726,0,0
213,1080019,0,0
214,1202086,0,0
215,849091,0,0
216,74911,0,0
217,137407,0,0
218,236902,0,0
219,437791,0,0
220,1338691,0,0
221,1259731,0,0
222,161491,0,0
223,444694,0,0
224,319,0,0
225,250582,0,0
226,559891,0,0
227,735094,0,0
228,53086,0,0
229,225247,0,0
230,305302,0,0
231,6646,0,0
232,5827,0,0
233,81694,0,0
234,350911,0,0
235,293926,0,0
236,735094,0,0
237,1533694,0,0
238,789526,0,0
239,475231,0,0
240,1338691,0,0
241,808102,0,0
242,1629526,0,0
243,3091,0,0
244,338707,0,0
245,53887,0,0
246,526702,0,0
247,223606,0,0
248,199711,0,0
249,964486,0,0
250,255811,0,0
251,1470019,0,0
252,231871,0,0
253,210694,0,0
254,1271422,0,0
255,934111,0,0
256,1287094,0,0
257,1267519,0,0
258,231871,0,0
259,1259731,0,0
260,1354771,0,0
261,171382,0,0
262,196627,0,0
263,162886,0,0
264,920767,0,0
265,123646,0,0
266,213886,0,0
267,1228819,0,0
268,65731,0,0
269,186022,0,0
270,114094,0,0
271,920767,0,0
272,266431,0,0
273,2542,0,0
274,89806,0,0
275,792607,0,0
276,602131,0,0
277,2206,0,0
278,338707,0,0
279,124867,0,0
280,1164406,0,0
281,189022,0,0
282,1346719,0,0
283,21694,0,0
284,444694,0,0
285,72094,0,0
286,49171,0,0
287,7222,0,0
288,320806,0,0
289,363331,0,0
290,947551,0,0
291,2371,0,0
292,70246,0,0
293,212287,0,0
294,31846,0,0
295,412942,0,0
296,1194502,0,0
297,27667,0,0
298,361246,0,0
299,607,0,0
300,1168147,0,0
301,1322707,0,0
302,1217326,0,0
303,1424182,0,0
304,169951,0,0
305,13087,0,0
306,985006,0,0
307,15142,0,0
308,1444927,0,0
309,586111,0,0
310,679747,0,0
311,691219,0,0
312,1012702,0,0
313,940819,0,0
314,201262,0,0
315,10111,0,0
316,705694,0,0
317,270019,0,0
318,640351,0,0
319,71167,0,0
320,102694,0,0
321,648694,0,0
322,662719,0,0
323,1508062,0,0
324,150547,0,0
325,1568206,0,0
326,541894,0,0
327,230206,0,0
328,68422,0,0
329,1461631,0,0
330,1119982,0,0
331,129811,0,0
332,168526,0,0
333,950926,0,0
334,501862,0,0
335,671206,0,0
336,1687519,0,0
337,1232662,0,0
338,109462,0,0
339,1194502,0,0
340,225247,0,0
341,1314751,0,0
342,1342702,0,0
343,934111,0,0
344,1005742,0,0
345,190531,0,0
346,496966,0,0
347,299587,0,0
348,1205887,0,0
349,3091,0,0
350,501862,0,0
351,127327,0,0
352,705694,0,0
353,72094,0,0
354,1457446,0,0
355,521686,0,0
356,696991,0,0
357,90847,0,0
358,14302,0,0
359,65731,0,0
360,209107,0,0
361,6367,0,0
362,85702,0,0
363,1263622,0,0
364,1040782,0,0
365,157342,0,0
366,215491,0,0
367,881311,0,0
368,602131,0,0
369,70246,0,0
370,26527,0,0
371,771166,0,0
372,1334686,0,0
373,252319,0,0
374,59662,0,0
375,103807,0,0
376,6094,0,0
377,947551,0,0
378,465727,0,0
379,1415926,0,0
380,519187,0,0
381,275446,0,0
382,143902,0,0
383,610222,0,0
384,184531,0,0
385,223606,0,0
386,46894,0,0
387,277267,0,0
388,129811,0,0
389,157342,0,0
390,147871,0,0
391,13087,0,0
392,1072831,0,0
393,231871,0,0
394,277267,0,0
395,9766,0,0
396,371731,0,0
397,162886,0,0
398,612931,0,0
399,245407,0,0
400,1051411,0,0
401,127,0,0
402,688342,0,0
403,842719,0,0
404,1186942,0,0
405,142591,0,0
406,1105366,0,0
407,1175647,0,0
408,386662,0,0
409,361246,0,0
410,10819,0,0
411,202819,0,0
412,39007,0,0
413,1550902,0,0
414,390982,0,0
415,16894,0,0
416,417406,0,0
417,142591,0,0
418,1164406,0,0
419,1065667,0,0
420,15142,0,0
421,1267519,0,0
422,4582,0,0
423,1271422,0,0
424,547006,0,0
425,332686,0,0
426,1366894,0,0
427,20191,0,0
428,679747,0,0
429,623827,0,0
430,777262,0,0
431,96142,0,0
432,1156942,0,0
433,22,0,0
434,1432462,0,0
435,338707,0,0
436,954307,0,0
437,1275331,0,0
438,950926,0,0
439,988447,0,0
440,94,0,0
441,96142,0,0
442,3091,0,0
443,186022,0,0
444,1436611,0,0
445,94,0,0
446,24862,0,0
447,1228819,0,0
448,1326694,0,0
449,881311,0,0
450,461011,0,0
451,17347,0,0
452,210694,0,0
453,552142,0,0
454,290182,0,0
455,618367,0,0
456,301486,0,0
457,738067,0,0
458,1102,0,0
459,1550902,0,0
460,240286,0,0
461,1062094,0,0
462,659902,0,0
463,1294966,0,0
464,1054966,0,0
465,1002271,0,0
466,8446,0,0
467,440086,0,0
468,449326,0,0
469,1350742,0,0
470,55507,0,0
471,196627,0,0
472,247126,0,0
473,166,0,0
474,209107,0,0
475,998806,0,0
476,406291,0,0
477,820606,0,0
478,161491,0,0
479,1306819,0,0
480,348862,0,0
481,1244227,0,0
482,1072831,0,0
483,1083622,0,0
484,122431,0,0
485,77782,0,0
486,357094,0,0
487,404086,0,0
488,668371,0,0
489,795694,0,0
490,771166,0,0
491,80707,0,0
492,7222,0,0
493,433219,0,0
494,845902,0,0
495,223606,0,0
496,991894,0,0
497,4351,0,0
498,1217326,0,0
499,311071,0,0
500,1559542,0,0
