Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
1,599446,128929,470517,2,126094,128929,470517,
3,679747,59128.3,66965.7,4,217102,59128.3,66965.7,
5,12694,137293,542454,6,117631,137293,542454,
7,586111,77587.9,139514,8,26527,77587.9,139514,
9,365422,18748,-6054,10,1205887,18748,-6054,
11,108319,57109.3,60521.7,12,1508062,57109.3,60521.7,
13,73966,127486,458625,14,41791,127486,458625,
15,9427,27112.5,-585.492,16,594094,27112.5,-585.492,
17,789526,100662,264760,18,1499566,100662,264760,
19,1428319,182865,1.02302e+06,20,248851,182865,1.02302e+06,
21,359167,54801.8,53517.2,22,45406,54801.8,53517.2,
23,192046,204497,1.30356e+06,24,1606,204497,1.30356e+06,
25,80707,45283.6,28682.4,26,648694,45283.6,28682.4,
27,73966,34034.8,7756.17,28,313006,34034.8,7756.17,
29,442387,16152.1,-6725.12,30,1457446,16152.1,-6725.12,
31,696991,128352,465742,32,637582,128352,465742,
33,41791,147965,641561,34,240286,147965,641561,
35,881311,203921,1.29565e+06,36,2206,203921,1.29565e+06,
37,204382,199017,1.2293e+06,38,536806,199017,1.2293e+06,
39,1221151,83068.1,165783,40,801886,83068.1,165783,
41,567694,99797,259370,42,1607491,99797,259370,
43,1198291,35477,9929.02,44,618367,35477,9929.02,
45,67519,72973,119073,46,386662,72973,119073,
47,19702,6633.91,-5027.91,48,301486,6633.91,-5027.91,
49,6646,47302.6,33404.4,50,852286,47302.6,33404.4,
51,1080019,134120,514574,52,586111,134120,514574,
53,30622,45283.6,28682.4,54,1112662,45283.6,28682.4,
55,248851,93163.1,219843,56,1453267,93163.1,219843,
57,1647262,110757,331630,58,406291,110757,331630,
59,1403587,201036,1.25641e+06,60,541894,201036,1.25641e+06,
61,768127,139024,557967,62,22207,139024,557967,
63,944182,132967,504615,64,110611,132967,504615,
65,22207,34034.8,7756.17,66,103807,34034.8,7756.17,
67,741046,81625.9,158660,68,934111,81625.9,158660,
69,842719,156329,724982,70,1620694,156329,724982,
71,1183171,7787.63,-5581.63,72,679747,7787.63,-5581.63,
73,694102,75280.4,129102,74,1116319,75280.4,129102,
75,89806,122006,414800,76,110611,122006,414800,
77,878062,184019,1.03713e+06,78,920767,184019,1.03713e+06,
79,169951,149119,652767,80,833206,149119,652767,
81,920767,125467,442227,82,22,125467,442227,
83,732127,211131,1.39636e+06,84,599446,211131,1.39636e+06,
85,328702,182288,1.016e+06,86,894367,182288,1.016e+06,
87,562486,130948,487419,88,1651711,130948,487419,
89,998806,43264.6,24254.4,90,4351,43264.6,24254.4,
91,26527,103547,283115,92,5827,103547,283115,
93,57151,23362.9,-3660.89,94,11926,23362.9,-3660.89,
95,132319,91432.6,210053,96,1407694,91432.6,210053,
97,1127326,13556.2,-6910.25,98,1198291,13556.2,-6910.25,
99,494527,153734,698552,100,744031,153734,698552,
101,1491094,173058,906961,102,588766,173058,906961,
103,1555219,127486,458625,104,225247,127486,458625,
105,1164406,29131.5,1490.49,106,319,29131.5,1490.49,
107,303391,175654,937008,108,1164406,175654,937008,
109,166,83068.1,165783,110,489667,83068.1,165783,
111,648694,200748,1.25252e+06,112,1598719,200748,1.25252e+06,
113,1342702,213727,1.43353e+06,114,1134694,213727,1.43353e+06,
115,433219,106143,300148,116,212287,106143,300148,
117,59662,197287,1.2063e+06,118,13891,197287,1.2063e+06,
119,122431,122583,419311,120,694102,122583,419311,
121,1037251,145946,622181,122,509251,145946,622181,
123,326719,24805,-2598.05,124,634819,24805,-2598.05,
125,388819,161810,782372,126,795694,161810,782372,
127,141286,55378.7,55232.3,128,20686,55378.7,55232.3,
129,211,24805,-2598.05,130,338707,24805,-2598.05,
131,765094,53648.1,50158.9,132,1629526,53648.1,50158.9,
133,235219,143350,597696,134,1069246,143350,597696,
135,514207,160944,773167,136,1175647,160944,773167,
137,35662,152868,689851,138,63094,152868,689851,
139,927427,211997,1.4087e+06,140,1611886,211997,1.4087e+06,
