Post-Optimization
Input Number,Real,Predicted,Error
0,-9.25596e+61,-inf,inf
1,107.014,-inf,inf
2,52.1238,-inf,inf
3,83.1965,-inf,inf
4,0.726551,-inf,inf
5,67.6368,-inf,inf
6,24.8449,-inf,inf
7,87.2553,-inf,inf
8,63.3625,-inf,inf
9,27.0435,-inf,inf
10,24.0748,-inf,inf
11,43.403,-inf,inf
12,9.50318,-inf,inf
13,86.735,-inf,inf
14,18.2769,-inf,inf
15,4.94784,-inf,inf
16,41.9431,-inf,inf
17,22.8431,-inf,inf
18,115.955,-inf,inf
19,115.171,-inf,inf
20,7.52971,-inf,inf
21,27.9295,-inf,inf
22,2.2686,-inf,inf
23,52.3007,-inf,inf
24,18.728,-inf,inf
25,23.9442,-inf,inf
26,60.9285,-inf,inf
27,44.5241,-inf,inf
28,7.67278,-inf,inf
29,1.07614,-inf,inf
30,19.8214,-inf,inf
31,99.4872,-inf,inf
32,9.69519,-inf,inf
33,52.4471,-inf,inf
34,84.0106,-inf,inf
35,21.3041,-inf,inf
36,0.561561,-inf,inf
37,87.3475,-inf,inf
38,16.2616,-inf,inf
39,25.3846,-inf,inf
40,12.6001,-inf,inf
41,48.1982,-inf,inf
42,67.8511,-inf,inf
43,98.0554,-inf,inf
44,24.0195,-inf,inf
45,39.695,-inf,inf
46,23.5128,-inf,inf
47,21.6901,-inf,inf
48,75.2528,-inf,inf
49,24.5121,-inf,inf
50,76.3761,-inf,inf
51,53.6003,-inf,inf
52,44.9457,-inf,inf
53,99.6981,-inf,inf
54,32.166,-inf,inf
55,8.17074,-inf,inf
56,2.83171,-inf,inf
57,3.58391,-inf,inf
58,11.6128,-inf,inf
59,3.92113,-inf,inf
60,4.36574,-inf,inf
61,12.2993,-inf,inf
62,44.6351,-inf,inf
63,55.9194,-inf,inf
64,84.2878,-inf,inf
65,-0.166538,-inf,inf
66,84.6302,-inf,inf
67,84.4709,-inf,inf
68,63.1922,-inf,inf
69,22.5235,-inf,inf
70,11.7983,-inf,inf
71,11.7428,-inf,inf
72,20.5448,-inf,inf
73,6.94788,-inf,inf
74,56.9581,-inf,inf
75,57.1871,-inf,inf
76,52.6656,-inf,inf
77,22.1034,-inf,inf
78,25.1767,-inf,inf
79,36.1062,-inf,inf
80,9.27788,-inf,inf
81,53.7441,-inf,inf
82,0.207528,-inf,inf
83,51.3728,-inf,inf
84,88.0623,-inf,inf
85,64.4924,-inf,inf
86,101.873,-inf,inf
87,1.34328,-inf,inf
88,114.658,-inf,inf
89,91.6406,-inf,inf
90,40.8374,-inf,inf
91,113.092,-inf,inf
92,7.7786,-inf,inf
93,29.2196,-inf,inf
94,88.6642,-inf,inf
95,70.3548,-inf,inf
96,56.5439,-inf,inf
97,112.353,-inf,inf
98,7.80621,-inf,inf
99,6.71704,-inf,inf
100,30.3811,-inf,inf
101,36.524,-inf,inf
102,23.766,-inf,inf
103,81.7967,-inf,inf
104,41.135,-inf,inf
105,7.60555,-inf,inf
106,1.00117,-inf,inf
107,72.3412,-inf,inf
108,4.04785,-inf,inf
109,56.433,-inf,inf
110,57.5177,-inf,inf
111,81.64,-inf,inf
112,22.1827,-inf,inf
113,4.42208,-inf,inf
114,15.0373,-inf,inf
115,106.327,-inf,inf
116,98.0573,-inf,inf
117,108.091,-inf,inf
118,7.14094,-inf,inf
119,119.651,-inf,inf
120,16.8848,-inf,inf
121,5.31445,-inf,inf
122,8.20201,-inf,inf
123,77.3002,-inf,inf
124,109.823,-inf,inf
125,102.626,-inf,inf
126,22.4582,-inf,inf
127,16.7583,-inf,inf
128,61.1416,-inf,inf
129,21.9964,-inf,inf
130,12.5029,-inf,inf
131,68.1822,-inf,inf
132,19.579,-inf,inf
133,13.3763,-inf,inf
134,19.1229,-inf,inf
135,38.5405,-inf,inf
136,63.9423,-inf,inf
137,8.40062,-inf,inf
138,97.5737,-inf,inf
139,20.3307,-inf,inf
140,14.6145,-inf,inf
141,84.7433,-inf,inf
142,2.92228,-inf,inf
143,49.9154,-inf,inf
144,79.8854,-inf,inf
145,42.4081,-inf,inf
146,12.2846,-inf,inf
147,97.1944,-inf,inf
148,117.554,-inf,inf
149,0.546155,-inf,inf
150,18.3857,-inf,inf
151,101.616,-inf,inf
152,61.4182,-inf,inf
153,17.7116,-inf,inf
154,28.4478,-inf,inf
155,40.9218,-inf,inf
156,9.48225,-inf,inf
157,92.4847,-inf,inf
158,53.937,-inf,inf
159,14.9625,-inf,inf
160,2.69853,-inf,inf
161,45.9086,-inf,inf
162,86.5344,-inf,inf
163,110.606,-inf,inf
164,99.0462,-inf,inf
165,106.041,-inf,inf
166,27.0998,-inf,inf
167,67.6269,-inf,inf
168,66.8591,-inf,inf
169,11.1298,-inf,inf
170,20.0191,-inf,inf
171,56.7797,-inf,inf
172,34.0332,-inf,inf
173,16.6136,-inf,inf
174,70.8633,-inf,inf
175,61.1116,-inf,inf
176,103.042,-inf,inf
177,30.8743,-inf,inf
178,46.3324,-inf,inf
179,38.3793,-inf,inf
180,9.3974,-inf,inf
181,77.1745,-inf,inf
182,5.62979,-inf,inf
183,5.13939,-inf,inf
184,108.346,-inf,inf
185,30.1153,-inf,inf
186,91.1133,-inf,inf
187,72.7672,-inf,inf
188,10.23,-inf,inf
189,9.28112,-inf,inf
190,0.154691,-inf,inf
191,3.22608,-inf,inf
192,82.593,-inf,inf
193,3.32818,-inf,inf
194,18.0858,-inf,inf
195,1.3092,-inf,inf
196,28.2434,-inf,inf
