Pre-Optimization
Input Number,Real,Predicted,Error
1,107.014,7.33137,99.6831
2,52.1238,4.88758,47.2362
3,83.1965,6.51678,76.6797
4,0.726551,0,0.726551
5,67.6368,5.70218,61.9347
6,24.8449,3.25839,21.5865
7,87.2553,6.51678,80.7385
8,63.3625,5.70218,57.6603
9,27.0435,3.25839,23.7851
10,24.0748,3.25839,20.8164
11,43.403,4.07299,39.3301
12,9.50318,1.62919,7.87399
13,86.735,6.51678,80.2182
14,18.2769,2.44379,15.8331
15,4.94784,0.814597,4.13325
16,41.9431,4.07299,37.8701
17,22.8431,2.44379,20.3993
18,115.955,7.33137,108.624
19,115.171,7.33137,107.84
20,7.52971,0.814597,6.71511
21,27.9295,3.25839,24.6711
22,2.2686,0,2.2686
23,52.3007,4.88758,47.4131
24,18.728,2.44379,16.2842
25,23.9442,3.25839,20.6858
26,60.9285,4.88758,56.041
27,44.5241,4.07299,40.4511
28,7.67278,0.814597,6.85819
29,1.07614,0,1.07614
30,19.8214,2.44379,17.3776
31,99.4872,7.33137,92.1558
32,9.69519,1.62919,8.06599
33,52.4471,4.88758,47.5595
34,84.0106,6.51678,77.4938
35,21.3041,2.44379,18.8603
36,0.561561,0,0.561561
37,87.3475,6.51678,80.8307
38,16.2616,2.44379,13.8178
39,25.3846,3.25839,22.1263
40,12.6001,1.62919,10.9709
41,48.1982,4.88758,43.3107
42,67.8511,5.70218,62.1489
43,98.0554,6.51678,91.5386
44,24.0195,3.25839,20.7611
45,39.695,4.07299,35.622
46,23.5128,2.44379,21.069
47,21.6901,2.44379,19.2463
48,75.2528,5.70218,69.5506
49,24.5121,3.25839,21.2538
50,76.3761,5.70218,70.674
51,53.6003,4.88758,48.7127
52,44.9457,4.07299,40.8727
53,99.6981,7.33137,92.3667
54,32.166,3.25839,28.9077
55,8.17074,1.62919,6.54155
56,2.83171,0.814597,2.01711
57,3.58391,0.814597,2.76931
58,11.6128,1.62919,9.98365
59,3.92113,0.814597,3.10653
60,4.36574,0.814597,3.55114
61,12.2993,1.62919,10.6701
62,44.6351,4.07299,40.5621
63,55.9194,4.88758,51.0318
64,84.2878,6.51678,77.771
65,-0.166538,0,-0.166538
66,84.6302,6.51678,78.1134
67,84.4709,6.51678,77.9542
68,63.1922,5.70218,57.4901
69,22.5235,2.44379,20.0797
70,11.7983,1.62919,10.1691
71,11.7428,1.62919,10.1136
72,20.5448,2.44379,18.101
73,6.94788,0.814597,6.13328
74,56.9581,4.88758,52.0705
75,57.1871,4.88758,52.2995
76,52.6656,4.88758,47.778
77,22.1034,2.44379,19.6597
78,25.1767,3.25839,21.9183
79,36.1062,4.07299,32.0332
80,9.27788,1.62919,7.64869
81,53.7441,4.88758,48.8565
82,0.207528,0,0.207528
83,51.3728,4.88758,46.4852
84,88.0623,6.51678,81.5455
85,64.4924,5.70218,58.7902
86,101.873,7.33137,94.542
87,1.34328,0,1.34328
88,114.658,7.33137,107.327
89,91.6406,6.51678,85.1238
90,40.8374,4.07299,36.7645
91,113.092,7.33137,105.76
92,7.7786,0.814597,6.96401
93,29.2196,3.25839,25.9612
94,88.6642,6.51678,82.1474
95,70.3548,5.70218,64.6527
96,56.5439,4.88758,51.6563
97,112.353,7.33137,105.022
98,7.80621,1.62919,6.17701
99,6.71704,0.814597,5.90244
100,30.3811,3.25839,27.1228
101,36.524,4.07299,32.451
102,23.766,2.44379,21.3222
103,81.7967,6.51678,75.2799
104,41.135,4.07299,37.062
105,7.60555,0.814597,6.79096
106,1.00117,0,1.00117
107,72.3412,5.70218,66.639
108,4.04785,0.814597,3.23325
109,56.433,4.88758,51.5454
110,57.5177,4.88758,52.6301
111,81.64,6.51678,75.1233
112,22.1827,2.44379,19.7389
113,4.42208,0.814597,3.60748
114,15.0373,2.44379,12.5936
115,106.327,7.33137,98.9955
116,98.0573,6.51678,91.5406
117,108.091,7.33137,100.759
118,7.14094,0.814597,6.32635
119,119.651,7.33137,112.32
120,16.8848,2.44379,14.441
121,5.31445,0.814597,4.49985
122,8.20201,1.62919,6.57282
123,77.3002,5.70218,71.5981
124,109.823,7.33137,102.491
125,102.626,7.33137,95.2947
126,22.4582,2.44379,20.0144
127,16.7583,2.44379,14.3145
128,61.1416,4.88758,56.254
129,21.9964,2.44379,19.5526
130,12.5029,1.62919,10.8738
131,68.1822,5.70218,62.4801
132,19.579,2.44379,17.1352
133,13.3763,1.62919,11.7471
134,19.1229,2.44379,16.6791
135,38.5405,4.07299,34.4675
136,63.9423,5.70218,58.2402
137,8.40062,1.62919,6.77143
138,97.5737,6.51678,91.0569
139,20.3307,2.44379,17.8869
140,14.6145,1.62919,12.9853
141,84.7433,6.51678,78.2265
142,2.92228,0.814597,2.10768
143,49.9154,4.88758,45.0278
144,79.8854,6.51678,73.3687
145,42.4081,4.07299,38.3351
146,12.2846,1.62919,10.6554
147,97.1944,6.51678,90.6776
148,117.554,7.33137,110.223
149,0.546155,0,0.546155
150,18.3857,2.44379,15.9419
151,101.616,7.33137,94.2843
152,61.4182,4.88758,56.5306
153,17.7116,2.44379,15.2678
154,28.4478,3.25839,25.1894
155,40.9218,4.07299,36.8488
156,9.48225,1.62919,7.85305
157,92.4847,6.51678,85.9679
158,53.937,4.88758,49.0494
159,14.9625,2.44379,12.5187
160,2.69853,0,2.69853
161,45.9086,4.07299,41.8356
162,86.5344,6.51678,80.0177
163,110.606,7.33137,103.274
164,99.0462,7.33137,91.7148
165,106.041,7.33137,98.7095
166,27.0998,3.25839,23.8415
167,67.6269,5.70218,61.9247
168,66.8591,5.70218,61.1569
169,11.1298,1.62919,9.50057
170,20.0191,2.44379,17.5753
171,56.7797,4.88758,51.8922
172,34.0332,3.25839,30.7748
173,16.6136,2.44379,14.1698
174,70.8633,5.70218,65.1611
175,61.1116,4.88758,56.224
176,103.042,7.33137,95.7109
177,30.8743,3.25839,27.6159
178,46.3324,4.07299,42.2594
179,38.3793,4.07299,34.3063
180,9.3974,1.62919,7.7682
181,77.1745,5.70218,71.4723
182,5.62979,0.814597,4.8152
183,5.13939,0.814597,4.32479
184,108.346,7.33137,101.015
185,30.1153,3.25839,26.8569
